index,mid,display_name,level_0,level_1,level_2,level_3,level_4,level_5,hierarchy_path,description
165,/m/01p970,Tabla,Music,Musical instrument,Percussion,Drum,Tabla,,Music > Musical instrument > Percussion > Drum > Tabla,"The sound of a classical Hindustani percussion instrument consisting of a pair of hand drums of contrasting sizes and timbres, producing distinct pitches when struck. The larger drum has a pitch that can be manipulated with the player's hand."
166,/m/01qbl,Cymbal,Music,Musical instrument,Percussion,Cymbal,,,Music > Musical instrument > Percussion > Cymbal,"The sound of a percussion instrument consisting of thin, normally round plates of various alloys. They may be used in pairs, struck together, or as single cymbals struck with sticks."
167,/m/03qtq,Hi-hat,Music,Musical instrument,Percussion,Cymbal,Hi-hat,,Music > Musical instrument > Percussion > Cymbal > Hi-hat,"The sound of a mating pair of small cymbals mounted atop one-another on a stand, the bottom fixed and the top activated up and down by a foot pedal. The rate of decay of the sound is changed between a shimmering and sharp effect by pressing on the pedal."
168,/m/01sm1g,Wood block,Music,Musical instrument,Percussion,Wood block,,,Music > Musical instrument > Percussion > Wood block,"The sound of a small slit drum made from a single piece of wood, making a very short, clean sound."
169,/m/07brj,Tambourine,Music,Musical instrument,Percussion,Tambourine,,,Music > Musical instrument > Percussion > Tambourine,"The sound of a musical instrument consisting of a frame with pairs of small metal jingles. There is often a drumhead stretched across the frame, and the instrument is usually played by striking the frame or head with the hand."
170,/m/05r5wn,Rattle (instrument),Music,Musical instrument,Percussion,Rattle (instrument),,,Music > Musical instrument > Percussion > Rattle (instrument),"The sound of an instrument that produces a sound when shaken, usually consisting of a closed rigid shell containing numerous small particles that strike the shell when shaken."
171,/m/0xzly,Maraca,Music,Musical instrument,Percussion,Rattle (instrument),Maraca,,Music > Musical instrument > Percussion > Rattle (instrument) > Maraca,"The sound of a specific kind of rattle that appears in many genres of Caribbean and Latin music. Players hold them by their handles, usually in pairs, and shake them."
172,/m/0mbct,Gong,Music,Musical instrument,Percussion,Gong,,,Music > Musical instrument > Percussion > Gong,"The sound of a musical percussion instrument consisting of a flat, circular metal disc which is hit with a mallet."
173,/m/016622,Tubular bells,Music,Musical instrument,Percussion,Tubular bells,,,Music > Musical instrument > Percussion > Tubular bells,"Sounds of tuned percussion instruments consisting of a metal tube, tuned by altering its length in the range C4-F5."
174,/m/0j45pbj,Mallet percussion,Music,Musical instrument,Percussion,Mallet percussion,,,Music > Musical instrument > Percussion > Mallet percussion,"Sounds of melodic percussion instruments consisting of an array of elements, one for each note, played with mallets."
175,/m/0dwsp,"Marimba, xylophone",Music,Musical instrument,Percussion,Mallet percussion,"Marimba, xylophone",,"Music > Musical instrument > Percussion > Mallet percussion > Marimba, xylophone",Sounds of a percussion instrument consisting of a set of wooden bars struck with mallets to produce musical tones. Resonators suspended underneath the bars may amplify their sound.
