No bird_ei lintu
Human_ihminen
Turdus pilaris_räkättirastas
Hydroprogne caspia_räyskä
Delichon urbicum_räystäspääsky
Asio otus_sarvipöllö
Luscinia luscinia_satakieli
Larus fuscus_selkälokki
Branta bernicla_sepelhanhi
Columba palumbus_sepelkyyhky
Turdus torquatus_sepelrastas
Ficedula albicollis_sepelsieppo
Podiceps cristatus_silkkiuikku
Tarsiger cyanurus_sinipyrstö
Luscinia svecica_sinirinta
Anas platyrhynchos_sinisorsa
Circus cyaneus_sinisuohaukka
Cyanistes caeruleus_sinitiainen
Phylloscopus sibilatrix_sirittäjä
Motacilla citreola_sitruunavästäräkki
Calidris pugnax_suokukko
Asio flammeus_suopöllö
Calidris alpina_suosirri
Pandion haliaetus_sääksi
Phylloscopus inornatus_taigauunilintu
Gallinago gallinago_taivaanvuohi
Parus major_talitiainen
Anas crecca_tavi
Pinicola enucleator_taviokuurna
Tetrao tetrix_teeri
Bucephala clangula_telkkä
Apus apus_tervapääsky
Carduelis carduelis_tikli
Bombycilla garrulus_tilhi
Phylloscopus collybita_tiltaltti
Mergus serrator_tukkakoskelo
Aythya fuligula_tukkasotka
Regulus ignicapilla_tulipäähippiäinen
Anser albifrons_tundrahanhi
Pluvialis squatarola_tundrakurmitsa
Falco rusticolus_tunturihaukka
Stercorarius longicaudus_tunturikihu
Eremophila alpestris_tunturikiuru
Bubo scandiacus_tunturipöllö
Streptopelia decaocto_turkinkyyhky
Streptopelia turtur_turturikyyhky
Falco tinnunculus_tuulihaukka
Charadrius hiaticula_tylli
Riparia riparia_törmäpääsky
Vanellus vanellus_töyhtöhyyppä
Lophophanes cristatus_töyhtötiainen
Mergellus albellus_uivelo
Acanthis flammea_urpiainen
Columba oenas_uuttukyyhky
Branta leucopsis_valkoposkihanhi
Dendrocopos leucotos_valkoselkätikka
Tringa nebularia_valkoviklo
Corvus cornix_varis
Passer domesticus_varpunen
Accipiter nisus_varpushaukka
Glaucidium passerinum_varpuspöllö
Phalaropus lobatus_vesipääsky
Chloris chloris_viherpeippo
Spinus spinus_vihervarpunen
Panurus biarmicus_viiksitimali
Coturnix coturnix_viiriäinen
Strix uralensis_viirupöllö
Acrocephalus dumetorum_viitakerttunen
Locustella fluviatilis_viitasirkkalintu
Poecile palustris_viitatiainen
Motacilla cinerea_virtavästäräkki
Linaria flavirostris_vuorihemppo
Motacilla alba_västäräkki
